===== Stardust (USA) =====
White Roses (UK), OQF 17-pdr AT Gun Mk. VII (IIC), 6
White Roses (UK), OQF 17-pdr Gun Mk. IV SH-SH, 6
White Roses (UK), OQF 77 mm Gun Mk. II (A22F), 6
White Roses (UK), OQF 77 mm Gun Mk. II (A43), 6
White Roses (UK), OQF 77 mm HV Mk. I, 6
White Roses (UK), Q.F. 4.5-in. Howitzer, 6
White Roses (UK), Q.F. 4.5-in. Howitzer (304), 6
White Roses (UK), QF 6-pdr LT Gun Mk. V, 6
White Roses (UK), QF 6-pdr Mk. V (A15), 6
White Roses (UK), Twin 20-pdr Gun MBC, 6
White Roses (UK), 75 mm HV L40, 7
White Roses (UK), 75 mm HV L40 (Set), 7
White Roses (UK), 75 mm M6, 7
White Roses (UK), 76 mm L5A3, 7
White Roses (UK), B.L. 5.5-in. Gun (207), 7
White Roses (UK), B.L. 5.5-in. Gun (CSP), 7
White Roses (UK), OQF 17-pdr AT Gun Mk. VII, 7
White Roses (UK), OQF 17-pdr AT Gun Mk. VII, 7
White Roses (UK), OQF 17-pdr Gun Mk. VII, 7
White Roses (UK), OQF 17-pdr Gun Mk. VII, 7
White Roses (UK), OQF 17-pdr Gun Mk. VII (221), 7
White Roses (UK), OQF 17-pdr Gun Mk. VII (A41), 7
White Roses (UK), OQF 17-pdr Gun Mk. VII (A43), 7
White Roses (UK), OQF 17-pdr Gun Mk. VII B, 7
White Roses (UK), OQF 20-pdr AT Gun Type A Barrel, 7
White Roses (UK), OQF 20-pdr AT Gun Type A Barrel (AT 7), 7
White Roses (UK), OQF 20-pdr AT Gun Type B Barrel (4101), 7
White Roses (UK), OQF 32-pdr AT Gun Mk. II, 7
White Roses (UK), OQF 77 mm Gun Mk. II, 7
White Roses (UK), QF 3.7-inch AT Gun, 7
White Roses (UK), Twin 20-pdr Gun MBC Mk. II, 7
White Roses (UK), Twin OQF 77 mm Gun Mk. II, 7
White Roses (UK), 105 mm AT Gun L7, 8
White Roses (UK), 105 mm AT Gun L7, 8
White Roses (UK), 105mm HV Gun Mk.II, 8
White Roses (UK), 120 mm AT Gun L1A1 (4004), 8
White Roses (UK), 85 mm HV L40, 8
White Roses (UK), 85 mm HV L40 (LHMTV), 8
White Roses (UK), 90 mm Gun T208 (rifled), 8
White Roses (UK), 90 mm Kenerga Mk. 8, 8
White Roses (UK), 90 mm Kenerga Mk. 8 (601), 8
White Roses (UK), B.L. 5.5-in. Gun, 8
White Roses (UK), OQF 20-pdr Gun Type A Barrel, 8
White Roses (UK), OQF 20-pdr Gun Type B Barrel, 8
White Roses (UK), OQF 32-pdr AT Gun, 8
White Roses (UK), OQF 32-pdr AT Gun (A39), 8
White Roses (UK), OQF 32-pdr AT Gun (AT 15), 8
White Roses (UK), OQF 32-pdr Gun Mk. II, 8
White Roses (UK), OQF 32-pdr Gun Mk. II (221), 8
White Roses (UK), OQF 55-pdr AT Gun, 8
White Roses (UK), Q.F. 6-in. Gun Mk. V, 8
White Roses (UK), QF 120 mm Gonsalo, 8
White Roses (UK), QF 20 pounder, 8
White Roses (UK), QF 5-in. Gun, 8
White Roses (UK), QF 6-inch Caliban, 8
White Roses (UK), Twin 32-pdr Gun MBC, 8
White Roses (UK), Twin 32-pdr Gun MBC Mk. 2, 8
White Roses (UK), 105 mm MV Gun, 9
White Roses (UK), 105 mm Royal Ordnance L7A1, 9
White Roses (UK), 110 mm MV-N60 Gun, 9
White Roses (UK), 120 mm AT Gun L1A1, 9
White Roses (UK), 120 mm Gun L1A1, 9
White Roses (UK), 120 mm Gun L1A1 (214), 9
White Roses (UK), 120 mm Low Velocity Gun, 9
White Roses (UK), 120 mm QF gun, 9
White Roses (UK), 120 mm Tank Gun L11PA, 9
White Roses (UK), 128 mm Gun L/50, 9
White Roses (UK), 5.5-inch AT Gun Mk. II, 9
White Roses (UK), 90 mm Cockerill, 9
White Roses (UK), B.L. 5.5-in. Gun, 9
White Roses (UK), B.L. 7.2-in. Howitzer Mk. 6, 9
White Roses (UK), OQF 20-pdr Gun Type B Barrel, 9
White Roses (UK), OQF 55-pdr CG, 9
White Roses (UK), Twin 105 mm Gun L7 MBC, 9
White Roses (UK), Twin 105 mm T8 Gun MBC, 9
White Roses (UK), Twin 110 mm Gun MBC, 9
White Roses (UK), 105 mm AT Gun L7A1, 10
White Roses (UK), 105 mm AT Gun L7A1, 10
White Roses (UK), 105 mm AT Gun L7A1 GSOR, 10
White Roses (UK), 105 mm Gun L7A2, 10
White Roses (UK), 105 mm Gun L7A2, 10
White Roses (UK), 105 mm L7 SFC, 10
White Roses (UK), 110 mm Medium Velocity Gun, 10
White Roses (UK), 120 mm Gun L1A1, 10
White Roses (UK), 120 mm Gun L1A1 A, 10
White Roses (UK), 120 mm Tank Gun L11, 10
White Roses (UK), 120 mm Tank Gun L11A1, 10
White Roses (UK), 120 mm Tank Gun L11B, 10
White Roses (UK), 183 mm L4, 10
White Roses (UK), 183 mm L4A1, 10
White Roses (UK), B.L. 9.2-in. Howitzer Mk. II, 10
White Roses (UK), OQF 123 mm Mk. 1, 10
White Roses (UK), QF 105 mm Gun, 10
White Roses (UK), Twin 120 mm Gun L1 MBC, 10
White Roses (UK), Twin 120 mm Gun L1 MBC, 10
White Roses (UK), 110 mm High Velocity Gun, 11
White Roses (UK), OQF 123 mm Mk. 1B, 11
White Roses (UK), Twin 4.5-in. Gun MBC, 11


===== Far East (Japan) =====
nation, name, tier
Far East (Japan), 37 mm APX SA18, 1
Far East (Japan), 37 mm KwK 36 L/46.5, 1
Far East (Japan), 47 mm Vickers QF, 1
Far East (Japan), 37 mm Pak, 2
Far East (Japan), 40 mm Pom-Pom, 2
Far East (Japan), 45 mm 20K, 2
Far East (Japan), 47 mm QFSA, 2
Far East (Japan), 37 mm M6, 3
Far East (Japan), 47 mm Gun Type 1, 3
Far East (Japan), 57 mm ZiS-2 (76G), 3
Far East (Japan), 47 mm Gun Type 1 (M5), 4
Far East (Japan), 47 mm Gun Type 1G FT, 4
Far East (Japan), 76 mm F-34, 4
Far East (Japan), 85 mm 56-85TG FT, 4
Far East (Japan), 85 mm 56-85TG FT (60G), 4
Far East (Japan), 57 mm 55-57FG, 5
Far East (Japan), 57 mm 55-57FGA, 5
Far East (Japan), 57 mm ZiS-2, 5
Far East (Japan), 76 mm ZiS-3, 5
Far East (Japan), 85 mm 62-85TG FT, 5
Far East (Japan), 85 mm 62-85TG FT (131G), 5
Far East (Japan), 85 mm S-53, 5
Far East (Japan), 100 mm 44-100JT (IS-2), 6
Far East (Japan), 100 mm 59-100TG FT, 6
Far East (Japan), 100 mm 59-100TG FT (34-2G), 6
Far East (Japan), 76 mm 54-76T, 6
Far East (Japan), 76 mm Gun M1A2, 6
Far East (Japan), 85 mm 56-85JT, 6
Far East (Japan), 85 mm 56-85JT (34-1), 6
Far East (Japan), 85 mm 62-85T, 6
Far East (Japan), 85 mm Type 58, 6
Far East (Japan), 100 mm 44-100JT, 7
Far East (Japan), 100 mm 44-100JT (34-1), 7
Far East (Japan), 100 mm Type 59M, 7
Far East (Japan), 122 mm 60-122TG FT, 7
Far East (Japan), 122 mm D-25T, 7
Far East (Japan), 122 mm D-25T (110), 7
Far East (Japan), 122 mm D-25TG FT, 7
Far East (Japan), 122 mm Type-59-2, 7
Far East (Japan), 85 mm 64-85T, 7
Far East (Japan), 85 mm 64-85T (132), 7
Far East (Japan), 85 mm Type 62, 7
Far East (Japan), 100 mm 59-100T, 8
Far East (Japan), 100 mm 59-100T (120), 8
Far East (Japan), 100 mm 60-100T (132A), 8
Far East (Japan), 100 mm 60-100TA, 8
Far East (Japan), 100 mm 60-100TA, 8
Far East (Japan), 100 mm 62-100T, 8
Far East (Japan), 100 mm Type 59, 8
Far East (Japan), 122 mm 371-122JTX, 8
Far East (Japan), 122 mm D-25T (111 4), 8
Far East (Japan), 122 mm D-25TA, 8
Far East (Japan), 122 mm Type-61, 8
Far East (Japan), 130 mm 59-130JG FT, 8
Far East (Japan), 130 mm 59-130JG FT (111), 8
Far East (Japan), 130 mm M-65 Type 70, 8
Far East (Japan), 160 mm 56-160 BZS, 8
Far East (Japan), 160 mm 56-160 BZS, 8
Far East (Japan), 76 mm M32K1, 8
Far East (Japan), 90 mm Gun M41, 8
Far East (Japan), 100 mm 62-100TA, 9
Far East (Japan), 100 mm D-54TA, 9
Far East (Japan), 105 mm Type 81-I, 9
Far East (Japan), 120 mm TG, 9
Far East (Japan), 122 mm 60-122T (120), 9
Far East (Japan), 122 mm Type 61 DB, 9
Far East (Japan), 130 mm 59-130T, 9
Far East (Japan), 130 mm 59-130T, 9
Far East (Japan), 130 mm M-65 Type 70A, 9
Far East (Japan), 152 mm 59-152JG FT (111), 9
Far East (Japan), 57 mm PG70 x2, 9
Far East (Japan), 84 mm Type 79, 9
Far East (Japan), 105 mm L7A3C, 10
Far East (Japan), 105 mm L7C, 10
Far East (Japan), 105 mm L7C MK, 10
Far East (Japan), 122 mm 57-I, 10
Far East (Japan), 122 mm 57-I, 10
Far East (Japan), 122 mm 60-122T, 10
Far East (Japan), 122 mm 60-122TG, 10
Far East (Japan), 122 mm 60-122TG FT A, 10
Far East (Japan), 122 mm 60-122TP, 10
Far East (Japan), 130 mm 59-130JG FT A, 10
Far East (Japan), 130 mm 59-130M, 10
Far East (Japan), 130 mm 59-130TA, 10
Far East (Japan), 130 mm 59-130TA QL, 10
Far East (Japan), 130 mm 62-130T, 10
Far East (Japan), 130 mm Type-62, 10
Far East (Japan), 15 cm Pak L/38, 10
Far East (Japan), 152 mm 59-152JG FT, 10
Far East (Japan), 152 mm 64-152DV, 10
Far East (Japan), 152 mm 64-152T, 10
Far East (Japan), 152 mm 64-152T, 10
Far East (Japan), 152 mm GM-45, 10
Far East (Japan), 180 mm ZPL-70/47, 10
Far East (Japan), 115 mm 69-115T, 11
Far East (Japan), 152 mm ZPL-75, 11
Far East (Japan), 152 mm ZPL-75-1, 11
Far East (Japan), 13 mm Autocannon Type Ho, 1
Far East (Japan), 13 mm Autocannon Type Ho (NC), 1
Far East (Japan), 37 mm Gun Type 98 (95), 1
Far East (Japan), 37 mm Sogekihou, 1
Far East (Japan), 37 mm Sogekihou (NC), 1
Far East (Japan), 37 mm Gun Type 98, 2
Far East (Japan), 5.7 cm Gun Type 90, 2
Far East (Japan), 5.7 cm Gun Type 97, 2
Far East (Japan), 5.7 cm Gun Type 97 (95), 2
Far East (Japan), 5.7 cm Gun Type 97 (Shin), 2
Far East (Japan), 37 mm Gun Type 1, 3
Far East (Japan), 37 mm Gun Type 100, 3
Far East (Japan), 47 mm Gun Type 1 (2), 3
Far East (Japan), 47 mm Gun Type 1 (Shin), 3
Far East (Japan), 7 cm Gun Type 94, 3
Far East (Japan), 47 mm Gun Type 1, 4
Far East (Japan), 7.5 cm Tank Gun Type 3, 4
Far East (Japan), 7.5 cm Tank Gun Type 4, 4
Far East (Japan), 7.5 cm Tank Gun Type 88, 4
Far East (Japan), 7.5 cm Tank Gun Type 99, 4
Far East (Japan), Experimental 57 mm Tank Gun Shin, 4
Far East (Japan), Experimental 57 mm Tank Gun Shin (10), 4
Far East (Japan), Experimental 57 mm Tank Gun Shin (2), 4
Far East (Japan), 10 cm Cannon Type 92 (O-I), 5
Far East (Japan), 10.5 cm Gun Type 91, 5
Far East (Japan), 10.5 cm Type 14 L/34, 5
Far East (Japan), 12 cm Short Barrel Gun, 5
Far East (Japan), 7.5 cm Tank Gun Type 3 Model II, 5
Far East (Japan), 7.5 cm Tank Gun Type 5, 5
Far East (Japan), 7.5 cm Tank Gun Type 5, 5
Far East (Japan), 7.5 cm Tank Gun Type 5 (CT), 5
Far East (Japan), 7.5 cm Tank Gun Type 5N, 5
Far East (Japan), 7.5 cm Tank Gun Type 90, 5
Far East (Japan), 7.5 cm Type 5 Gun Ro, 5
Far East (Japan), 10 cm Cannon Type 92 (O-Ni), 6
Far East (Japan), 10 cm Cannon Type 92 SP, 6
Far East (Japan), 10.5 cm Type 92 Gun Ro, 6
Far East (Japan), 15 cm Howitzer Type 96 (O-I), 6
Far East (Japan), 7.5 cm Tank Gun Type 5 Model I, 6
Far East (Japan), 7.5 cm Tank Gun Type 5 Model I (CR), 6
Far East (Japan), 8.8 cm Tank Gun Type 3, 6
Far East (Japan), 88 mm Tank Gun Type 3T, 6
Far East (Japan), 10 cm Cannon Type 92A, 7
Far East (Japan), 10 cm Experimental Tank Gun, 7
Far East (Japan), 10 cm Experimental Tank Gun Kai, 7
Far East (Japan), 10.5 cm Gun Shin, 7
Far East (Japan), 105 mm Gun Type 92 SHA-1, 7
Far East (Japan), 105 mm Tank Gun Type 92T, 7
Far East (Japan), 7.5 cm Autoloading Tank Gun Type 5, 7
Far East (Japan), 8,8 cm Kw.K. 36 L/56, 7
Far East (Japan), 90 mm Rifled Gun, 7
Far East (Japan), 105 mm M68 L7, 8
Far East (Japan), 105 mm M68 L7 (57), 8
Far East (Japan), 105 mm Type 5 Se, 8
Far East (Japan), 12 cm Gun Type 10, 8
Far East (Japan), 12.7 cm Gun Type 89, 8
Far East (Japan), 12.7 cm/50 3rd Year Type, 8
Far East (Japan), 12.7 cm/50 3rd Year Type (O-Ho), 8
Far East (Japan), 90 mm Gun Type 61, 8
Far East (Japan), 90 mm Gun Type 61 MHI, 8
Far East (Japan), 90 mm Rifled Gun, 8
Far East (Japan), 105 mm Cannon Type 92, 9
Far East (Japan), 105 mm JSW 105/60, 9
Far East (Japan), 105 mm Rifled Gun (61), 9
Far East (Japan), 12.7 cm Gun Type 89A, 9
Far East (Japan), 120 mm Gun Type 60, 9
Far East (Japan), 14 cm/50 3rd Year Type (4), 9
Far East (Japan), 14.9 cm Gun Type 96, 9
Far East (Japan), Rensouhou 12.7 cm Type 89, 9
Far East (Japan), 105 mm Gun Type 52, 10
Far East (Japan), 105 mm Rifled Gun, 10
Far East (Japan), 120 mm Gun Type 71, 10
Far East (Japan), 14.9 cm Gun Type 96 Kai, 10
Far East (Japan), 15 cm/45 41st Year Type, 10
Far East (Japan), 137.2 mm TK DK, 11
Far East (Japan), 15.5 cm Gun Shin, 11


===== Universal (N/A) =====
nation, name, tier
Universal (N/A), 37 mm Pěchotní dělo Škoda L/27, 1
Universal (N/A), 37 mm Škoda A3, 1
Universal (N/A), 47 mm Rychlopalné dělo Vickers L/20, 1
Universal (N/A), 37 mm Škoda A7, 2
Universal (N/A), 37 mm Škoda A8, 2
Universal (N/A), 24 mm Panzerwagen Kanone 1938, 3
Universal (N/A), 37 mm Škoda A23, 3
Universal (N/A), 47 mm Škoda A11, 3
Universal (N/A), 47 mm Škoda A11 vylepšený, 4
Universal (N/A), 47 mm Škoda A24, 4
Universal (N/A), 75 mm Škoda A13, 4
Universal (N/A), 75 mm Škoda A18, 5
Universal (N/A), 75 mm Škoda A18 (24), 5
Universal (N/A), 100 mm Škoda R 11 proto, 6
Universal (N/A), 6,6 cm Pak 5/800, 6
Universal (N/A), 75 mm Škoda A18 (s automatickým nabíjením), 6
Universal (N/A), 85 mm vz. 44S, 6
Universal (N/A), 100 mm vz. 44S, 7
Universal (N/A), 105 mm vz. 38N, 7
Universal (N/A), 105 mm vz. 39N (projektové), 7
Universal (N/A), 30 mm protiletadlový dvojkanón vz. 53, 7
Universal (N/A), 75 mm Škoda A26, 7
Universal (N/A), 8,8 cm vz. 37N, 7
Universal (N/A), 8,8 cm vz. 37N, 7
Universal (N/A), 88 mm Škoda vz.36 N, 7
Universal (N/A), 100 mm A20, 8
Universal (N/A), 105 mm vz. 38N (a), 8
Universal (N/A), 105 mm vz. 40N, 8
Universal (N/A), 105 mm vz. 40N (1000), 8
Universal (N/A), 122 mm D-25TK, 8
Universal (N/A), 37 mm automatický dvojkanón, 8
Universal (N/A), 50 mm protiletadlový dvojkanón ZK 500, 8
Universal (N/A), 8,8 cm vz. 41N, 8
Universal (N/A), 8,8 cm vz. 41N A, 8
Universal (N/A), 100 mm AK1, 9
Universal (N/A), 100 mm S-3, 9
Universal (N/A), 105 mm dvojkanón vz. 40N, 9
Universal (N/A), 107 mm vz. 63, 9
Universal (N/A), 122 mm vz. 44-51, 9
Universal (N/A), 122 mm vz. 44-51 2A, 9
Universal (N/A), 130 mm 59-130M, 9
Universal (N/A), 130 mm vz.57, 9
Universal (N/A), 50 mm protiletadlový dvojkanón ZK 500S, 9
Universal (N/A), 57 mm automatický dvojkanón 535Š, 9
Universal (N/A), 100 mm AK1 (50/51), 10
Universal (N/A), 100 mm BS-3, 10
Universal (N/A), 122 mm vz. 122 L/52, 10
Universal (N/A), 122 mm vz. 44-60, 10
Universal (N/A), 130 mm vz. 54, 10
Universal (N/A), 130 mm vz. 54 2 GW, 10
Universal (N/A), 130 mm vz. 54 2A, 10
Universal (N/A), 130 mm Škoda R 14, 10
Universal (N/A), 152 mm D-20SM, 10
Universal (N/A), 57 mm automatický dvojkanón 535T, 10
Universal (N/A), 130 mm vz. 63 s ANZ, 11
Universal (N/A), Cannone da 37/20, 1
Universal (N/A), Cannone da 37/40, 1
Universal (N/A), Cannone da 37/40 (3000), 1
Universal (N/A), Cannone da 37/40 (M14), 1
Universal (N/A), Cannone da 47/32, 2
Universal (N/A), Cannone da 47/32 (M14), 2
Universal (N/A), Mitragliera Breda cal. 20 mod. 35, 2
Universal (N/A), Cannone da 47/40, 3
Universal (N/A), Cannone da 47/40 bis, 3
Universal (N/A), Cannone da 75/32, 3
Universal (N/A), Cannone da 75/18, 4
Universal (N/A), Cannone da 75/34, 4
Universal (N/A), Cannone da 75/46, 4
Universal (N/A), Cannone da 75/34 S., 5
Universal (N/A), Cannone da 75/50 Skoda, 5
Universal (N/A), Cannone da 75/50 Skoda (P43), 5
Universal (N/A), Cannone da 90/53 S., 5
Universal (N/A), Cannone da 102/40, 6
Universal (N/A), Cannone da 88/47, 6
Universal (N/A), Cannone da 90/42, 6
Universal (N/A), Cannone da 90/42 (ter), 6
Universal (N/A), Cannone da 90/60, 6
Universal (N/A), Cannone da 105/53, 7
Universal (N/A), Cannone da 105/56, 7
Universal (N/A), Cannone da 105/73, 7
Universal (N/A), Cannone da 90/53, 7
Universal (N/A), Cannone da 90/53 (ter), 7
Universal (N/A), Cannone da 90/62, 7
Universal (N/A), Cannone da 105/58 Rh V1, 8
Universal (N/A), Cannone da 105/71, 8
Universal (N/A), Cannone da 105/76, 8
Universal (N/A), Cannone da 120/59, 8
Universal (N/A), Cannone da 120/60, 8
Universal (N/A), Cannone da 90 Rh, 8
Universal (N/A), Cannone da 90/50 T119E1, 8
Universal (N/A), Cannone da 90/50 T119E1M, 8
Universal (N/A), Cannone da 90/74, 8
Universal (N/A), 105 mm OTO Melara 105 mod. 57, 9
Universal (N/A), Cannone binato da 120/59, 9
Universal (N/A), Cannone da 105 Rh V1, 9
Universal (N/A), Cannone da 105/55, 9
Universal (N/A), Cannone da 120/55, 9
Universal (N/A), Cannone da 120/62, 9
Universal (N/A), Cannone da 127/58, 9
Universal (N/A), 105 mm OTO-M-105-51, 10
Universal (N/A), 127 mm OTO Melara, 10
Universal (N/A), Cannone da 105/51 M68, 10
Universal (N/A), Cannone da 105/57, 10
Universal (N/A), Cannone da 120/67 T53, 10
Universal (N/A), Cannone da 127 OTO Melara veloce, 10
Universal (N/A), Cannone da 127/51, 10
Universal (N/A), Cannone da 130/45, 10
Universal (N/A), Cannone da 105/55 Sperimentale, 11
Universal (N/A), 20 mm akan m/40, 1
Universal (N/A), 20 mm akan m/Madsen, 1
Universal (N/A), 37 mm kan m/Škoda, 1
Universal (N/A), 20 mm akan m/Madsen, 2
Universal (N/A), 20 mm pvlvkan m/40, 2
Universal (N/A), 37 mm kan m/38 strv, 2
Universal (N/A), 37 mm kan m/38 strv (40), 2
Universal (N/A), 37 mm kan fm/32, 3
Universal (N/A), 37 mm kan m/38-49 strv, 3
Universal (N/A), 37 mm pvkan m/38, 3
Universal (N/A), 57 mm pvkan m/43, 3
Universal (N/A), 7,5 cm kan m/02, 3
Universal (N/A), 10,5 cm kan ikv 102, 4
Universal (N/A), 10,5 cm kan m/44 sav, 4
Universal (N/A), 47 mm Bohler M35, 4
Universal (N/A), 7,5 cm kan m/41 ikv, 4
Universal (N/A), 7,5 cm kan m/41 ikv L/50, 4
Universal (N/A), 7,5 cm kan m/41 ikv L/50 (neglkrut), 4
Universal (N/A), 7,5 cm kan m/41 strv, 4
Universal (N/A), 7,5 cm kan m/41 strv (42), 4
Universal (N/A), 10,5 cm kan ikv 103, 5
Universal (N/A), 7,5 cm kan m/43 strv, 5
Universal (N/A), 7,5 cm lvkan m/36, 5
Universal (N/A), 9 cm Bofors L/43, 5
Universal (N/A), 7,5 cm kan m/43 strv (Leo), 6
Universal (N/A), 7,5 cm kan strv 74, 6
Universal (N/A), 7,5 cm kan strv 74, 6
Universal (N/A), 9 cm Bofors L/53, 6
Universal (N/A), 9 cm Bofors L/53 (65), 6
Universal (N/A), 10 cm kan m/34, 7
Universal (N/A), 10,5 cm lvkan m/42, 7
Universal (N/A), 9 cm Bofors strvkan L/53, 7
Universal (N/A), 9 cm kan m/F, 7
Universal (N/A), 9 cm kan m/F (90), 7
Universal (N/A), 10,5 cm TK 105-9, 8
Universal (N/A), 10,5 cm TK 105-9 (52E2), 8
Universal (N/A), 10,5 cm kan UDES 03, 8
Universal (N/A), 10,5 cm kan strv 103 L/51, 8
Universal (N/A), 10,5 cm strvkan L/45, 8
Universal (N/A), 10,5 cm strvkan L/45 (16), 8
Universal (N/A), 10,5 cm strvkan L/50 S, 8
Universal (N/A), Bofors 120 mm, 8
Universal (N/A), 10,5 cm kan strv 103 L/62, 9
Universal (N/A), 10,5 cm kan strv 103 L/62 (103-0), 9
Universal (N/A), 10,5 cm kan strv K L/52, 9
Universal (N/A), 10,5 cm lvkan L/67, 9
Universal (N/A), 10,5 cm strvkan L/45 Alt 3, 9
Universal (N/A), 10,5 cm strvkan L/51, 9
Universal (N/A), 10.5 cm K L/53, 9
Universal (N/A), 105 mm L7 Gun (Ambassador), 9
Universal (N/A), 12 cm akan L/40 (52E2), 9
Universal (N/A), 8,4 cm kan strv 81, 9
Universal (N/A), 10,5 cm kan strv 103 L/51, 10
Universal (N/A), 10,5 cm kan strv 103 L/62, 10
Universal (N/A), 12 cm Bofors strvkan L/40, 10
Universal (N/A), 12 cm akan L/40, 10
Universal (N/A), 12 cm strvkan L/40, 10
Universal (N/A), 10,5 cm kan strv 107 L/62, 11
Universal (N/A), 12 cm högtrycksstrvkan L/40, 11
